lsl_timestamp,gesture_name
4770.5593053,Closed_Fist
4770.5966803,Closed_Fist
4770.633911,Closed_Fist
4770.8895402,Closed_Fist
4770.9169259,None
4770.9435797,None
4770.9691117,None
4770.9982699,None
4771.0334943,None
4771.06701,None
4771.1329986,Closed_Fist
4771.1689875,None
4771.1971202,Closed_Fist
4771.2179533,Closed_Fist
4771.2448125,Closed_Fist
4771.2716215,Closed_Fist
4771.3227157,Closed_Fist
4771.3469257,Closed_Fist
4771.3754817,None
4771.4116805,Closed_Fist
4771.4350198,Closed_Fist
4771.4629238,Closed_Fist
4771.5428278,Closed_Fist
4771.5809509,Closed_Fist
4771.6180269,Closed_Fist
4771.6559204,Closed_Fist
4771.6948732,None
